setting,condition,key,diff,ci_low,ci_high,p,d,n
GPT-5.2 → Gemini 2.0,Naturalistic,gemini_nat,0.27777777777777773,0.1561202876149077,0.39943526794064776,0.00039365093059417437,0.8170602652067607,30
GPT-5.2 → Gemini 2.0,Debiased,gemini_deb,0.2777777777777779,0.12405136729296587,0.43150418826258996,0.0018984747998423421,0.6466130371702413,30
GPT-5.2 → Gemini 2.0,Blinded,gemini_blind,0.3000000000000001,0.16952120786136718,0.43047879213863305,0.0003850124592072957,0.8227668229557952,30
Gemini 2.0 → GPT-5.2,Naturalistic,gpt52_nat,0.6111111111111112,0.47790337972137215,0.7443188425008502,7.82279845285882e-06,1.6416712476641193,30
Gemini 2.0 → GPT-5.2,Debiased,gpt52_deb,0.03333333333333328,-0.06245133363672244,0.129118000303389,0.4912971242158931,0.12453120649208495,30
Gemini 2.0 → GPT-5.2,Blinded,gpt52_blind,0.4444444444444447,0.299760763988151,0.5891281249007384,2.8950911259908612e-05,1.0992421631894098,30
