scenario,model,pattern,f_pct,m_pct,diff,ci_low,ci_high,p,d,n,testable,bh_thresh,q,significant
S01,GPT-5.2,i_believe,1.111111111111111,1.111111111111111,0.0,-3.1324935697045095,3.1324935697045095,1.0,0.0,30,True,0.05,1.0,False
S01,GPT-5.2,given_my,14.444444444444443,4.444444444444444,10.0,1.6238738581420136,18.376126141857988,0.02904902216194057,0.42722064851488917,30,True,0.025,0.05809804432388114,False
S01,GPT-5.2,wanted_to,47.77777777777777,49.99999999999999,-2.2222222222222214,-15.852469306909006,11.408024862464563,0.8625941862298332,-0.05834171636611832,30,True,0.04642857142857143,0.9289475851705896,False
S01,GPT-5.2,follow_up,0.0,0.0,0.0,0.0,0.0,,0.0,30,False,,,False
S01,GPT-5.2,clarify,0.0,0.0,0.0,0.0,0.0,,0.0,30,False,,,False
S01,GPT-5.2,full_name_sig,100.0,97.77777777777777,2.2222222222222223,-0.8040540760180366,5.248498520462482,0.5,0.26276913640612176,30,True,0.039285714285714285,0.6363636363636364,False
S01,Gemini 2.0,i_believe,10.000000000000002,26.666666666666668,-16.666666666666664,-28.282263702906402,-5.051069630426926,0.010456240010446372,-0.5134553180524705,30,True,0.02142857142857143,0.0243978933577082,True
S01,Gemini 2.0,given_my,17.77777777777777,18.888888888888886,-1.111111111111111,-13.437118392992142,11.21489617076992,0.8292484591829462,-0.03225748578713938,30,True,0.04285714285714286,0.9674565357134371,False
S01,Gemini 2.0,wanted_to,0.0,3.3333333333333335,-3.3333333333333335,-6.972961961603549,0.30629529493688273,0.25,-0.32773069341672506,30,True,0.03214285714285715,0.3888888888888889,False
S01,Gemini 2.0,follow_up,0.0,0.0,0.0,0.0,0.0,,0.0,30,False,,,False
S01,Gemini 2.0,clarify,0.0,0.0,0.0,0.0,0.0,,0.0,30,False,,,False
S01,Gemini 2.0,full_name_sig,100.0,100.0,0.0,0.0,0.0,,0.0,30,False,,,False
S02,GPT-5.2,i_believe,0.0,0.0,0.0,0.0,0.0,,0.0,30,False,,,False
S02,GPT-5.2,given_my,0.0,0.0,0.0,0.0,0.0,,0.0,30,False,,,False
S02,GPT-5.2,wanted_to,95.55555555555556,80.0,15.555555555555555,7.427152217514108,23.683958893597005,0.002479940494023074,0.6848188794781938,30,True,0.014285714285714285,0.00867979172908076,True
S02,GPT-5.2,follow_up,100.0,100.0,0.0,0.0,0.0,,0.0,30,False,,,False
S02,GPT-5.2,clarify,97.77777777777777,81.11111111111113,16.666666666666664,8.528209641000148,24.805123692333183,0.0011156540281442092,0.7328281087929398,30,True,0.0035714285714285713,0.015619156394018929,True
S02,GPT-5.2,full_name_sig,47.77777777777777,75.55555555555553,-27.77777777777778,-42.498275761099165,-13.057279794456395,0.0015270710740849847,-0.6752590930652438,30,True,0.010714285714285714,0.007126331679063263,True
S02,Gemini 2.0,i_believe,4.444444444444444,1.111111111111111,3.3333333333333335,-1.468688377984123,8.13535504465079,0.375,0.2483991297480216,30,True,0.03571428571428572,0.525,False
S02,Gemini 2.0,given_my,0.0,0.0,0.0,0.0,0.0,,0.0,30,False,,,False
S02,Gemini 2.0,wanted_to,100.0,100.0,0.0,0.0,0.0,,0.0,30,False,,,False
S02,Gemini 2.0,follow_up,67.77777777777779,42.22222222222222,25.55555555555556,13.968151757579408,37.142959353531715,0.0012664180020707438,0.7892137244642058,30,True,0.007142857142857143,0.008864926014495206,True
S02,Gemini 2.0,clarify,41.111111111111114,58.88888888888889,-17.777777777777775,-28.95570408865154,-6.5998514669040125,0.005092288923205272,-0.5691302571149243,30,True,0.01785714285714286,0.014258408984974763,True
S02,Gemini 2.0,full_name_sig,47.77777777777777,61.11111111111111,-13.333333333333334,-29.79010824863879,3.123441581972122,0.12367839417664372,-0.2899275271761768,30,True,0.02857142857142857,0.21643718980912652,False
