scenario,model,pattern,f_pct,m_pct,diff,ci_low,ci_high,p,d,n,testable,bh_thresh,q,significant
S01,Gemini 2.0,i_believe,10.000000000000002,26.666666666666668,-16.666666666666664,-28.282263702906402,-5.051069630426926,0.010456240010446372,-0.5134553180524705,30,True,0.02142857142857143,0.0243978933577082,True
S02,GPT-5.2,wanted_to,95.55555555555556,80.0,15.555555555555555,7.427152217514108,23.683958893597005,0.002479940494023074,0.6848188794781938,30,True,0.014285714285714285,0.00867979172908076,True
S02,GPT-5.2,clarify,97.77777777777777,81.11111111111113,16.666666666666664,8.528209641000148,24.805123692333183,0.0011156540281442092,0.7328281087929398,30,True,0.0035714285714285713,0.015619156394018929,True
S02,GPT-5.2,full_name_sig,47.77777777777777,75.55555555555553,-27.77777777777778,-42.498275761099165,-13.057279794456395,0.0015270710740849847,-0.6752590930652438,30,True,0.010714285714285714,0.007126331679063263,True
S02,Gemini 2.0,follow_up,67.77777777777779,42.22222222222222,25.55555555555556,13.968151757579408,37.142959353531715,0.0012664180020707438,0.7892137244642058,30,True,0.007142857142857143,0.008864926014495206,True
S02,Gemini 2.0,clarify,41.111111111111114,58.88888888888889,-17.777777777777775,-28.95570408865154,-6.5998514669040125,0.005092288923205272,-0.5691302571149243,30,True,0.01785714285714286,0.014258408984974763,True
